x,y,ratio
-3.947368421,-4.473684211,1.147748669
-3.947368421,-3.947368421,1.306843533
-3.947368421,-2.894736842,1.289187381
-3.947368421,-2.368421053,0.777790866
-3.947368421,-1.842105263,0.831328114
-3.947368421,-1.315789474,0.845271387
-3.947368421,-0.789473684,0.886773828
-3.947368421,-0.263157895,0.928258869
-5,-2.894736842,0.793296795
-3.947368421,0.263157895,1.036064402
-3.947368421,0.789473684,0.92186801
-3.947368421,1.315789474,0.958034912
-3.947368421,1.842105263,1.026246051
-3.947368421,2.368421053,1.05933455
-3.947368421,2.894736842,1.198399876
-3.947368421,3.947368421,0.701120181
-3.947368421,4.473684211,0.598526883
-3.947368421,5,0.611014837
-5,-2.368421053,1.507030576
-3.421052632,-5,0.522310513
-3.421052632,-4.473684211,1.286102235
-3.421052632,-2.894736842,0.913810012
-3.421052632,-2.368421053,0.77911734
-3.421052632,-1.842105263,0.767914358
-3.421052632,-1.315789474,0.773014646
-3.421052632,-0.789473684,0.757757808
-3.421052632,-0.263157895,0.813333482
-5,-1.842105263,1.821735479
-3.421052632,0.263157895,0.43196258
-3.421052632,0.789473684,0.882737694
-3.421052632,1.315789474,0.952078726
-3.421052632,1.842105263,0.966480021
-3.421052632,2.368421053,0.996541633
-3.421052632,2.894736842,1.055915625
-3.421052632,4.473684211,0.94460852
-3.421052632,5,0.596665028
-5,-1.315789474,1.608722862
-2.894736842,-5,0.511427442
-2.894736842,-4.473684211,1.54327533
-2.894736842,-3.421052632,0.621429137
-2.894736842,-2.894736842,0.726056024
-2.894736842,-2.368421053,0.727709942
-2.894736842,-1.842105263,0.705646922
-2.894736842,-1.315789474,0.710685674
-2.894736842,-0.789473684,0.71885611
-2.894736842,-0.263157895,0.712549713
-5,-0.789473684,2.786478642
-2.894736842,0.263157895,0.256045797
-2.894736842,0.789473684,0.851007989
-2.894736842,1.315789474,0.860431844
-2.894736842,1.842105263,0.900442112
-2.894736842,2.368421053,0.967100754
-2.894736842,2.894736842,1.012276297
-2.894736842,3.421052632,1.116376899
-2.894736842,4.473684211,1.417898116
-2.894736842,5,0.536991436
-5,-0.263157895,1.329568831
